id,TOSP code,TOSP Description,TOSP table no.,TOSP Common name,Setting,Ward Type,P25 Bill,P50 Bill,P75 Bill,P25 Operation Fee,P50 Operation Fee,P75 Operation Fee,P25 Surgeon Fee,P50 Surgeon Fee,P75 Surgeon Fee,P25 Anaesthetist Fee,P50 Anaesthetist Fee,P75 Anaesthetist Fee,P25 Facility Fee,P50 Facility Fee,P75 Facility Fee,P25 Implant Fee,P50 Implant Fee,P75 Implant Fee,P25 Other Fee,P50 Other Fee,P75 Other Fee
77,SB808K,"Knee, Various Lesions, Meniscectomy with/without Arthroscopy",4A,"Knee, removal of meniscus (with or without scope)",Private Hospitals/ Clinics,Inpatient,"12,509","15,080","19,116","10,303","11,592","14,114","4,815","5,778","7,490","1,125","1,486","1,819","3,733","4,496","5,112",n/a,n/a,n/a,"1,960","2,885","4,138"
78,SB809T,"Tendon-Achilles (Lower Limb), Disruption, Repair",3A,"Ankle, Achilles tendon repair",Private Hospitals/ Clinics,Inpatient,"13,879","16,430","20,642","10,793","13,203","15,041","6,313","7,490","8,560","1,267","1,605","2,000","3,049","3,624","4,082",n/a,n/a,n/a,"2,220","3,779","5,658"
79,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Private Hospitals/ Clinics,Inpatient,"27,183","34,014","40,129","15,736","19,102","22,774","8,560","10,700","12,840","2,000","2,140","2,675","5,228","6,456","7,667","4,815","6,500","7,490","5,393","7,954","10,566"
80,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Private Hospitals/ Clinics,Inpatient,"23,975","31,331","37,954","18,631","21,708","26,277","10,700","12,840","14,980","2,500","3,000","3,210","5,265","6,430","7,654",n/a,n/a,n/a,"4,118","6,432","9,588"
81,SB819H,"Hand, Tumors, Excision with Dissection of Neurovascular Bundle",4B,"Hand, removal of tumour with involvement of nerves and blood vessels",Private Hospitals/ Clinics,Day Surgery,"6,178","7,174","8,671","5,642","6,318","7,409","3,773","4,351","4,816",0,746,"1,000","1,231","1,506","2,014",-,-,-,585,854,"1,080"
82,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Arms, removal of plates and/or screws",Private Hospitals/ Clinics,Day Surgery,"4,686","7,485","8,555","3,738","6,465","7,571","2,140","3,210","4,280",236,800,"1,000","1,001","1,903","2,747",n/a,n/a,n/a,631,901,"1,158"
83,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Arms, removal of plates and/or screws",Private Hospitals/ Clinics,Inpatient,"8,910","10,178","11,399","6,676","7,663","9,078","3,210","4,280","4,280",800,"1,000","1,070","2,589","3,065","3,898",n/a,n/a,n/a,"1,649","1,926","2,446"
84,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Private Hospitals/ Clinics,Inpatient,"30,389","35,484","42,327","15,848","20,274","23,810","8,560","11,235","13,108","2,000","2,500","3,210","5,177","6,803","7,405","5,102","6,581","7,490","6,200","8,906","11,437"
85,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Private Hospitals/ Clinics,Day Surgery,"3,281","3,999","5,510","1,727","2,504","3,339","1,070","1,338","2,140",n/a,n/a,n/a,595,767,996,-,-,-,998,"1,826","2,435"
86,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Private Hospitals/ Clinics,Inpatient,"13,186","20,422","32,893","2,431","2,967","3,736","1,284","1,605","2,140",n/a,n/a,n/a,743,941,"1,297",-,-,-,"10,051","16,982","29,142"
87,SD707H,"Heart, Cardiac Catheterisation (left) and Intracoronary Pressure Wire without Percutaneous Transluminal Coronary Angioplasty (PTCA)",3C,"Heart, insertion of line and wire into left heart for diagnosis but not treatment",Private Hospitals/ Clinics,Inpatient,"12,505","14,505","18,383","9,835","11,656","13,610","4,280","5,350","5,885",n/a,n/a,n/a,"4,637","6,923","7,725",n/a,n/a,n/a,"1,569","3,894","6,277"
88,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Private Hospitals/ Clinics,Inpatient,"25,776","31,697","39,446","15,651","19,020","24,143","6,634","8,560","12,198",n/a,n/a,n/a,"7,618","9,934","12,696","4,831","5,759","8,362","3,132","4,793","8,403"
89,SD713H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (more than 1 vessel) - Intravascular Ultrasound (IVUS), Fractional Flow Reserve (FFR)",4B,"Heart, expansion of blocked heart vessels (>1 vessel) ",Private Hospitals/ Clinics,Inpatient,"34,677","40,337","47,307","20,801","24,570","29,591","8,560","10,914","13,910",n/a,n/a,n/a,"9,887","13,196","15,969","6,179","9,925","14,295","3,038","4,710","6,791"
90,SD713V,"Vein, Varicose Veins, Imaging Guided Endovenous Laser Treatment, 1 leg",3B,"Blood vessel, laser treatment of swollen and twisted veins in the leg (1 leg)",Private Hospitals/ Clinics,Clinics,"10,433","11,330","12,061","9,844","10,914","11,449","5,885","6,955","6,955",n/a,n/a,n/a,"3,959","4,280","4,280",-,-,-,298,416,772
91,SD714H,"Heart, Primary Percutaneous Transluminal Coronary Angioplasty for ST-elevation Myocardial Infarction",4B,"Heart, expansion of blocked heart vessels (emergency)",Private Hospitals/ Clinics,Inpatient,"32,606","40,201","50,077","17,413","21,388","28,071","10,700","12,573","13,910",n/a,n/a,n/a,"4,573","10,005","14,207","4,806","6,441","10,781","7,819","9,905","13,134"
92,SD722V,"Vein, Various Lesions, Imaging Guided Peripheral Insertion of Central Catheter (PICC)",1C,"Blood vessel, insertion of medium term venous line into the central chest vein with imaging",Private Hospitals/ Clinics,Inpatient,"13,710","23,642","41,852",642,"1,759","2,720",642,721,"1,284",-,-,-,n/a,n/a,n/a,n/a,n/a,n/a,"11,798","20,881","40,556"
93,SD802H,"Heart, Arrhythmia, Catheter Ablation, with/without Electroanatomical Mapping",4A,"Heart, burning of heart tissue to treat irregular heartbeat",Private Hospitals/ Clinics,Inpatient,"20,737","28,660","37,569","17,261","24,002","32,252","6,420","9,416","12,840",n/a,n/a,n/a,"9,504","13,887","19,650",-,-,-,"2,121","3,415","5,772"
94,SD809H,"Heart, Coronary Artery Disease, Cardiac Catherisation and Coronary Angiogram",4A,"Heart, insertion of line into heart for diagnosis",Private Hospitals/ Clinics,Inpatient,"6,759","8,332","12,932","5,227","5,851","8,186","3,210","3,210","4,324",n/a,n/a,n/a,"2,138","2,882","3,576",n/a,n/a,n/a,"1,245","2,071","4,006"
95,SD810H,"Heart, Coronary Disease, Coronary Angioplasty (transluminal), with/without angiocardiography",4A,"Heart, expansion of blocked heart vessels",Private Hospitals/ Clinics,Inpatient,"28,321","32,298","37,408","17,304","21,498","27,080","8,560","11,770","13,910",n/a,n/a,n/a,"7,158","10,023","13,183","4,173","5,915","7,357","3,290","4,223","5,992"
96,SD811H,"Heart, Coronary angiography (Selective)",3A,"Heart, insertion of line into selective heart vessels for diagnosis",Private Hospitals/ Clinics,Day Surgery,"5,235","5,736","6,745","4,284","4,734","5,392","2,140","2,311","3,000",n/a,n/a,n/a,"2,104","2,366","2,527",-,-,-,615,931,"1,188"
97,SD811H,"Heart, Coronary angiography (Selective)",3A,"Heart, insertion of line into selective heart vessels for diagnosis",Private Hospitals/ Clinics,Inpatient,"7,195","9,104","13,425","5,107","5,933","7,333","2,245","2,969","3,531",n/a,n/a,n/a,"2,565","3,036","3,683",n/a,n/a,n/a,"1,399","2,653","6,713"
98,SD812H,"Heart, Coronary Disease, Coronary Artery Bypass Graft (Open)",7A,"Heart, bypass (conventional surgery)",Private Hospitals/ Clinics,Inpatient,"67,272","75,398","88,942","43,195","50,874","57,724","24,557","27,820","30,495","3,500","4,815","5,350","15,611","19,093","24,158",n/a,n/a,n/a,"20,451","25,533","33,216"
99,SD821A,"Artery, Various Lesions, Arterio-venuous Fistula Creation",3C,"Blood vessel, creation of connection between artery and vein",Private Hospitals/ Clinics,Clinics,"1,819","1,819","1,819","1,819","1,819","1,819","1,819","1,819","1,819",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,0,0,0
100,SF700I,"Intestine/Stomach, Upper Gl endoscopy with polypectomy/ removal of foreign body/diathermy of bleeding lesions / injection of varices / removal of single polyp",2C,"Upper abdomen, scope of food-pipe and stomach with treatment and/or removal of growths",Private Hospitals/ Clinics,Clinics,"1,659","1,980","2,492","1,070","1,231","1,420",984,"1,091","1,305",n/a,n/a,n/a,32,32,334,-,-,-,332,732,"1,095"
101,SF700I,"Intestine/Stomach, Upper Gl endoscopy with polypectomy/ removal of foreign body/diathermy of bleeding lesions / injection of varices / removal of single polyp",2C,"Upper abdomen, scope of food-pipe and stomach with treatment and/or removal of growths",Private Hospitals/ Clinics,Day Surgery,"2,200","2,637","3,158","1,678","1,955","2,401",963,"1,231","1,605",0,0,0,569,691,886,-,-,-,368,555,894
102,SF700I,"Intestine/Stomach, Upper Gl endoscopy with polypectomy/ removal of foreign body/diathermy of bleeding lesions / injection of varices / removal of single polyp",2C,"Upper abdomen, scope of food-pipe and stomach with treatment and/or removal of growths",Private Hospitals/ Clinics,Inpatient,"6,472","8,523","11,844","2,138","2,597","3,265","1,070","1,498","1,819",n/a,n/a,n/a,860,"1,014","1,493",-,-,-,"3,482","5,624","9,105"
103,SF701C,"Colon, Anterior Resection (open or laparoscopic)",6C,"Lower abdomen, partial removal of end of large intestine and rectum (conventional or keyhole surgery)",Private Hospitals/ Clinics,Inpatient,"37,941","47,321","51,533","25,463","31,312","37,397","12,840","16,050","19,260","3,000","3,210","4,000","8,645","10,874","13,784",n/a,n/a,n/a,"11,611","14,136","18,859"
104,SF701I,"Intestine/Stomach, Upper Gl endoscopy with / without biopsy",1B,"Upper abdomen, scope of food-pipe and stomach with or without removal of tissue",Private Hospitals/ Clinics,Clinics,"1,095","1,391","2,065",642,750,"1,019",535,610,803,0,0,0,32,32,146,-,-,-,321,589,906
105,SF701I,"Intestine/Stomach, Upper Gl endoscopy with / without biopsy",1B,"Upper abdomen, scope of food-pipe and stomach with or without removal of tissue",Private Hospitals/ Clinics,Day Surgery,"1,574","1,915","2,368","1,095","1,337","1,576",589,761,963,0,0,0,369,574,704,-,-,-,301,532,852
106,SF701I,"Intestine/Stomach, Upper Gl endoscopy with / without biopsy",1B,"Upper abdomen, scope of food-pipe and stomach with or without removal of tissue",Private Hospitals/ Clinics,Inpatient,"5,343","7,302","10,690","1,584","1,871","2,225",800,963,"1,177",0,0,0,674,847,985,n/a,n/a,n/a,"3,392","5,288","8,446"
107,SF702C,"Colon, Colonoscopy (diagnostic), fibreoptic with/without biopsy",2C,"Lower abdomen, scope of large intestine with or without biopsy for diagnosis",Private Hospitals/ Clinics,Clinics,"1,712","1,942","2,432","1,348","1,471","1,774","1,078","1,284","1,573",n/a,n/a,n/a,32,32,270,-,-,-,321,364,706
108,SF702C,"Colon, Colonoscopy (diagnostic), fibreoptic with/without biopsy",2C,"Lower abdomen, scope of large intestine with or without biopsy for diagnosis",Private Hospitals/ Clinics,Day Surgery,"2,070","2,528","2,992","1,617","2,004","2,358","1,177","1,498","1,712",0,0,0,363,457,616,-,-,-,273,412,630
109,SF702C,"Colon, Colonoscopy (diagnostic), fibreoptic with/without biopsy",2C,"Lower abdomen, scope of large intestine with or without biopsy for diagnosis",Private Hospitals/ Clinics,Inpatient,"4,566","6,327","10,332","2,108","2,475","3,048","1,391","1,605","1,969",0,0,0,517,704,969,-,-,-,"1,806","3,749","7,522"
110,SF704C,"Colon, Colonoscopy (diagnostic), fibreoptic with removal of polyp (single or multiple less than 1cm)",3A,"Lower abdomen, scope of large intestine for diagnosis with removal of growth (single or <1cm)",Private Hospitals/ Clinics,Clinics,"2,194","2,535","3,128","1,566","1,776","2,033","1,338","1,498","1,787",n/a,n/a,n/a,32,32,293,-,-,-,364,749,"1,124"
111,SF704C,"Colon, Colonoscopy (diagnostic), fibreoptic with removal of polyp (single or multiple less than 1cm)",3A,"Lower abdomen, scope of large intestine for diagnosis with removal of growth (single or <1cm)",Private Hospitals/ Clinics,Day Surgery,"2,771","3,214","3,802","2,206","2,636","3,057","1,500","1,834","2,140",0,0,0,612,739,880,-,-,-,302,473,798
112,SF704C,"Colon, Colonoscopy (diagnostic), fibreoptic with removal of polyp (single or multiple less than 1cm)",3A,"Lower abdomen, scope of large intestine for diagnosis with removal of growth (single or <1cm)",Private Hospitals/ Clinics,Inpatient,"5,064","7,573","10,341","2,856","3,269","3,803","1,712","2,140","2,500",n/a,n/a,n/a,859,"1,028","1,275",-,-,-,"1,699","4,184","6,308"
113,SF705C,"Colon, Colonoscopy (diagnostic), fibreoptic with removal of polyps (multiple more than 1cm)",3B,"Lower abdomen, scope of large intestine for diagnosis with removal of growth (multiple or >1cm)",Private Hospitals/ Clinics,Day Surgery,"3,188","3,755","4,787","2,568","3,190","4,062","1,712","2,140","2,622",n/a,n/a,n/a,714,939,"1,322",-,-,-,314,512,894
114,SF706G,Gallbladder (acute/complicated) open or laparascopic cholecyestectomy,4C,"Upper abdomen, removal of gallbladder (emergency or complicated)",Private Hospitals/ Clinics,Inpatient,"17,238","22,107","27,776","12,829","15,308","17,986","6,420","8,025","9,498","1,560","1,873","2,140","4,480","5,593","6,626",n/a,n/a,n/a,"3,415","5,861","10,262"
115,SF708B,"Bile Duct, Endoscopic Retrograde Cholangiopancreatography (ERCP) with sphincerotomy /removal of stone/ insertion of biliary stent",3C,"Upper abdomen, scope of bile duct and pancreatic duct with treatment",Private Hospitals/ Clinics,Inpatient,"11,048","14,327","19,449","6,998","8,413","10,230","3,745","4,280","4,280",800,"1,000","1,200","2,327","3,316","4,321",n/a,n/a,n/a,"2,963","5,598","9,443"
116,SF710C,"Colon, Sigmoid, Sigmoidoscopy (flexible), Fibreoptic with/without biopsy",1B,"Lower abdomen, scope of the lower large intestine ",Private Hospitals/ Clinics,Day Surgery,"1,550","1,965","2,887","1,168","1,400","1,745",642,750,"1,070",n/a,n/a,n/a,425,543,725,-,-,-,316,462,806
117,SF723A,"Appendix, Various Lesions/Abscess, Appendicectomy with Drainage (Open/Laparoscopic)",4A,"Lower abdomen, removal of appendix with drainage of infection (conventional or keyhole surgery)",Private Hospitals/ Clinics,Inpatient,"19,596","23,348","27,797","12,336","14,241","16,891","5,264","6,848","8,560","1,498","1,605","2,000","4,740","5,723","6,660",n/a,n/a,n/a,"6,661","8,615","11,111"
118,SF801G,"Gallbladder, Various Lesions, Cholecystectomy (open or lap)",4A,"Gallbladder, removal of gallbladder (simple)",Private Hospitals/ Clinics,Inpatient,"16,064","18,792","21,503","12,130","14,286","16,379","5,885","7,490","8,560","1,500","1,750","2,000","4,161","5,043","6,001",-,-,-,"2,788","3,780","5,747"
119,SF803C,"Colon, Various Lesions, Right/Left Hemicolectomy (laparoscopic or open)",5C,"Lower abdomen, partial removal of large intestine",Private Hospitals/ Clinics,Inpatient,"31,692","37,903","48,134","18,752","24,808","30,719","10,700","14,178","16,585","2,500","3,000","3,625","5,327","7,553","10,585",n/a,n/a,n/a,"10,549","14,338","19,612"
120,SF814P,"Parotid, Tumor, Superficial Parotidectomy",5C,"Parotid, partial removal for tumor",Private Hospitals/ Clinics,Inpatient,"22,517","27,123","30,679","17,518","21,244","23,542","7,490","10,861","13,488","1,873","2,650","3,305","5,444","7,058","9,113",n/a,n/a,n/a,"4,873","6,271","7,534"
121,SF818A,"Abdominal Wall, Inguinal Hernia (infants & children), Herniotomy (Unilateral)",3A,"Lower abdomen, hernia repair for children (one side)",Private Hospitals/ Clinics,Day Surgery,"3,725","5,623","6,891","3,553","5,016","6,513","1,950","2,354","4,815",660,700,"1,000",718,861,"1,821",-,-,-,172,366,561
122,SF819A,"Abdominal Wall, Inguinal/Femoral Hernia, Unilateral Herniorrhaphy (laparoscopic or open)",3B,"Lower abdomen, hernia repair (one side)",Private Hospitals/ Clinics,Inpatient,"10,918","14,154","16,818","8,181","11,131","13,025","3,569","5,350","6,420","1,000","1,250","1,500","3,147","4,143","5,303",n/a,n/a,n/a,"1,897","2,952","4,254"
123,SF820A,"Abdominal Wall, Inguinal/Femoral Hernia, Bilateral Herniorrhaphy (laparoscopic or open)",4C,"Lower abdomen, hernia repair (both sides)",Private Hospitals/ Clinics,Inpatient,"16,331","19,407","21,705","12,207","15,269","17,752","5,671","7,356","8,560","1,338","1,669","2,000","4,398","5,659","7,283",n/a,n/a,n/a,"2,661","3,606","5,012"
124,SF823A,"Abdominal Wall, Ventral/Incisional/Recurrent Hernia, Repair (laparoscopic or open)",4A,"Lower abdomen, hernia repair (recurrent or post-surgery)",Private Hospitals/ Clinics,Inpatient,"13,495","15,919","22,720","9,407","12,349","14,863","4,387","6,420","8,280","1,083","1,500","1,900","3,330","4,217","5,803",n/a,n/a,n/a,"2,994","4,168","6,721"
125,SF833A,"Anus, Fistula-in-ano, Excision/ Fistulectomy",2B,"Lower abdomen, removal of tract from anus (simple)",Private Hospitals/ Clinics,Day Surgery,"6,083","6,834","7,647","4,827","5,545","6,278","2,675","3,210","3,252",669,750,803,"1,353","1,700","2,000",-,-,-,892,"1,277","1,607"
126,SF833A,"Anus, Fistula-in-ano, Excision/ Fistulectomy",2B,"Lower abdomen, removal of tract from anus (simple)",Private Hospitals/ Clinics,Inpatient,"7,306","8,582","9,597","4,969","6,226","7,059","2,140","3,210","3,891",634,750,866,"1,592","2,347","2,629",n/a,n/a,n/a,"1,856","2,295","2,986"
127,SF836A,"Anus, Hemorrhoids, Hemorrhoidectomy with or without sigmoidoscopy",2C,"Lower abdomen, removal of piles",Private Hospitals/ Clinics,Clinics,"3,544","3,694","3,908","2,474","3,103","3,210","1,947","3,071","3,178",n/a,n/a,n/a,32,32,32,-,-,-,480,484,880
128,SF836A,"Anus, Hemorrhoids, Hemorrhoidectomy with or without sigmoidoscopy",2C,"Lower abdomen, removal of piles",Private Hospitals/ Clinics,Day Surgery,"6,419","7,336","8,196","5,343","6,024","6,740","2,976","3,210","3,764",750,803,936,"1,380","1,670","2,182",-,-,-,859,"1,244","1,546"
129,SF836A,"Anus, Hemorrhoids, Hemorrhoidectomy with or without sigmoidoscopy",2C,"Lower abdomen, removal of piles",Private Hospitals/ Clinics,Inpatient,"8,330","9,851","11,374","5,926","6,888","8,008","2,996","3,424","4,280",750,875,"1,000","1,957","2,428","2,928",n/a,n/a,n/a,"1,922","2,462","3,352"
130,SF837A,"Anus, Hemorrhoids,Stapled haemorrhoidectomy",3A,"Lower abdomen, removal of piles with staples",Private Hospitals/ Clinics,Day Surgery,"8,074","8,795","9,949","6,542","7,010","7,423","3,745","3,745","3,852",875,875,936,"1,842","2,266","2,713",-,-,-,"1,228","1,923","2,379"
131,SF837A,"Anus, Hemorrhoids,Stapled haemorrhoidectomy",3A,"Lower abdomen, removal of piles with staples",Private Hospitals/ Clinics,Inpatient,"9,065","9,927","11,332","6,541","7,292","8,538","3,210","3,745","4,280",750,803,"1,000","2,290","2,764","3,836",-,-,-,"1,970","2,650","3,198"
132,SF841A,"Anus, Perineal Abscess, Saucerisation/Drainage",1B,"Lower abdomen, drainage and removal of infection around anus",Private Hospitals/ Clinics,Inpatient,"7,094","8,410","11,027","4,518","5,399","6,248","2,033","2,675","3,424",600,669,803,"1,414","1,757","2,186",n/a,n/a,n/a,"2,216","2,930","5,605"
133,SF849A,"Appendix, Various Lesions, Appendicectomy Without Drainage, Open/Laparoscopic",3B,"Lower abdomen, removal of appendix (simple)",Private Hospitals/ Clinics,Inpatient,"16,783","19,841","23,059","11,721","13,129","15,087","5,442","6,420","6,955","1,475","1,576","1,719","4,167","5,176","6,344",-,-,-,"4,553","6,331","8,028"
134,SG700P,"Prostate Gland, Various Lesions, Transurethral Resection of Prostate (TURP) (less than 30 gm)",4B,"Male reproductive tract, removal of prostate gland (<30g)",Private Hospitals/ Clinics,Inpatient,"14,526","15,956","17,944","10,346","11,278","12,439","4,931","5,350","6,420","1,125","1,338","1,605","3,893","4,463","4,928",-,-,-,"3,803","4,580","5,440"
135,SG701U,"Ureter, Extra Corporeal Shockwave Lithotripsy (ESWL) for ureteric stone",4A,"Urinary tract, ultrasound removal of stones from urinary passage between kidney and bladder",Private Hospitals/ Clinics,Day Surgery,"6,727","7,298","8,841","4,657","6,422","7,580","3,210","4,146","4,494",0,600,"1,000",0,"2,185","3,159",n/a,n/a,n/a,539,791,"2,023"
136,SG701U,"Ureter, Extra Corporeal Shockwave Lithotripsy (ESWL) for ureteric stone",4A,"Urinary tract, ultrasound removal of stones from urinary passage between kidney and bladder",Private Hospitals/ Clinics,Inpatient,"10,401","12,022","14,977","6,741","8,639","10,510","3,852","4,378","5,350",0,671,"1,083","1,682","3,892","4,459",-,-,-,"1,967","3,945","6,145"
137,SG702P,"Prostate Gland, Various Lesions, Transurethral Resection of Prostate (TURP) (more than 30 gm)",5C,"Male reproductive tract, removal of prostate gland (>30g)",Private Hospitals/ Clinics,Inpatient,"17,181","19,029","21,424","11,451","13,422","15,214","5,564","6,420","7,490","1,338","1,605","1,873","4,117","5,190","5,863",-,-,-,"4,045","5,243","7,261"
138,SG709B,"Bladder, Cystoscopy, removal of foreign body/ureteric stent",2C,"Urinary tract, bladder scope to remove stent or objects",Private Hospitals/ Clinics,Clinics,"1,604","1,621","2,092","1,346","1,605","1,605",856,"1,043","1,070",n/a,n/a,n/a,229,535,749,-,-,-,12,300,354
139,SG709B,"Bladder, Cystoscopy, removal of foreign body/ureteric stent",2C,"Urinary tract, bladder scope to remove stent or objects",Private Hospitals/ Clinics,Day Surgery,"1,991","2,772","3,635","1,520","2,212","2,997",979,"1,284","1,980",0,0,0,440,608,791,-,-,-,430,534,671
140,SG713B,"Bladder, Cystoscopy, with or without biopsy",1B,"Urinary tract, bladder scope",Private Hospitals/ Clinics,Clinics,"1,284","1,513","1,953",896,"1,138","1,284",749,803,933,n/a,n/a,n/a,86,196,535,-,-,-,300,377,644
141,SG713B,"Bladder, Cystoscopy, with or without biopsy",1B,"Urinary tract, bladder scope",Private Hospitals/ Clinics,Day Surgery,"1,826","2,474","3,270","1,366","1,631","2,132",749,"1,050","1,284",0,0,0,393,590,882,-,-,-,416,628,"1,255"
142,SG713B,"Bladder, Cystoscopy, with or without biopsy",1B,"Urinary tract, bladder scope",Private Hospitals/ Clinics,Inpatient,"4,990","7,689","11,697","1,940","2,364","3,336","1,070","1,284","1,605",0,0,321,601,902,"1,442",-,-,-,"2,788","4,584","8,921"
143,SG718B,"Bladder/Urethra, Cystoscopy, with urethral dilatation",1C,"Urinary tract, bladder scope with expansion of urinary passage through penis",Private Hospitals/ Clinics,Clinics,"1,340","1,803","2,400","1,264","1,338","1,437",663,883,933,n/a,n/a,n/a,151,183,328,-,-,-,300,407,644
144,SG718B,"Bladder/Urethra, Cystoscopy, with urethral dilatation",1C,"Urinary tract, bladder scope with expansion of urinary passage through penis",Private Hospitals/ Clinics,Day Surgery,"2,277","3,625","4,832","1,721","2,265","3,620","1,000","1,284","1,712",n/a,n/a,n/a,507,794,"1,683",-,-,-,538,718,"1,328"
145,SG800U,"Ureter, Ureteroscopy and lithotripsy",4A,"Urinary tract, scope of urinary passage between kidney and bladder with removal of stones",Private Hospitals/ Clinics,Inpatient,"12,910","14,188","17,375","9,839","10,687","12,445","4,280","4,815","5,113","1,000","1,125","1,338","3,809","4,748","6,505",n/a,n/a,n/a,"2,629","3,562","5,199"
146,SG802K,"Kidney, Calculus, Extra Corporeal Shockwave Lithotripsy (ESWL)",4B,"Urinary tract, ultrasound removal of stones kidney",Private Hospitals/ Clinics,Day Surgery,"7,075","7,855","9,249","5,398","6,959","8,325","3,708","4,280","5,136",0,600,"1,000","1,408","2,244","2,999",-,-,-,572,806,"1,791"
147,SG802K,"Kidney, Calculus, Extra Corporeal Shockwave Lithotripsy (ESWL)",4B,"Urinary tract, ultrasound removal of stones kidney",Private Hospitals/ Clinics,Inpatient,"10,505","11,767","13,374","6,724","9,419","10,949","4,280","4,601","5,992",n/a,n/a,n/a,"1,481","3,994","4,423",-,-,-,"1,461","1,934","4,883"
148,SH802V,"Vas Deferens, Various Lesions, Varicocelectomy (Microsurgical)",3C,"Male reproductive tract, removal of enlarged veins on scrotum",Private Hospitals/ Clinics,Day Surgery,"9,947","10,889","11,580","9,148","10,161","10,588","4,280","5,746","5,885",963,963,"1,150","3,055","3,509","3,799",-,-,-,715,"1,063","1,515"
149,SH808P_(<6mth),"Penis, Paraphimosis/Phimosis/Reduction Prepuce, Circumcision (< 6 months old)",1B,"Male reproductive tract, circumcision (< 6 months old)",Private Hospitals/ Clinics,Clinics,551,551,551,315,315,315,150,150,150,0,0,0,165,165,165,0,0,0,236,236,236
150,SH808P_(<6mth),"Penis, Paraphimosis/Phimosis/Reduction Prepuce, Circumcision (< 6 months old)",1B,"Male reproductive tract, circumcision (< 6 months old)",Private Hospitals/ Clinics,Day Surgery,915,"1,072","1,443",723,767,"1,228",535,535,856,0,0,0,182,208,293,0,0,0,158,233,302
151,SH808P_(<6mth),"Penis, Paraphimosis/Phimosis/Reduction Prepuce, Circumcision (< 6 months old)",1B,"Male reproductive tract, circumcision (< 6 months old)",Private Hospitals/ Clinics,Inpatient,"2,838","3,150","3,701",659,926,963,428,673,700,0,0,0,238,263,271,0,0,0,"1,936","2,311","2,926"
152,SH808P_(>=6mth),"Penis, Paraphimosis/Phimosis/Reduction Prepuce, Circumcision (>= 6 months old)",1B,"Male reproductive tract, circumcision (>= 6 months old)",Private Hospitals/ Clinics,Clinics,774,774,774,350,350,350,250,250,250,n/a,n/a,n/a,100,100,100,0,0,0,424,424,424
153,SH808P_(>=6mth),"Penis, Paraphimosis/Phimosis/Reduction Prepuce, Circumcision (>= 6 months old)",1B,"Male reproductive tract, circumcision (>= 6 months old)",Private Hospitals/ Clinics,Day Surgery,"3,405","4,528","5,395","2,888","3,956","4,424","1,027","1,605","2,284",400,500,600,807,"1,506","1,970",0,0,0,427,552,852
154,SH808P_(>=6mth),"Penis, Paraphimosis/Phimosis/Reduction Prepuce, Circumcision (>= 6 months old)",1B,"Male reproductive tract, circumcision (>= 6 months old)",Private Hospitals/ Clinics,Inpatient,"5,563","6,950","8,533","3,756","4,914","6,420","1,284","2,140","3,355",400,600,"1,000","1,384","2,052","2,500",0,0,0,"1,590","1,886","2,126"
155,SH830P,"Prostate Gland, Various Lesions, Radical Prostatectomy (open/laparascopic/robotic)",6A,"Male reproductive tract, removal of entire prostate and surroundings",Private Hospitals/ Clinics,Inpatient,"48,252","53,326","57,239","40,622","44,607","48,511","16,585","19,100","21,400","3,000","3,500","3,959","19,541","21,985","23,946",-,-,-,"6,841","8,324","10,836"
156,SH834P,"Prostate Gland, Various Lesions, Trans-Rectal Ultrasound (TRUS) guided biopsy",1B,"Male reproductive tract, removal of prostate tissue with imaging assistance",Private Hospitals/ Clinics,Day Surgery,"3,789","3,960","8,619","2,307","2,599","3,810","1,284","1,284","2,889",n/a,n/a,n/a,225,"1,253","1,384",-,-,-,"1,316","1,550","2,290"
157,SH835P,"Prostate Gland, Various Lesions, Saturation Prostate Biopsy",2A,"Male reproductive tract, removal of prostate tissue (many samples)",Private Hospitals/ Clinics,Day Surgery,"7,689","8,173","9,550","5,392","6,563","7,172","2,194","3,210","3,951",n/a,n/a,n/a,"3,017","3,098","3,437",-,-,-,"1,414","1,791","2,317"
